Source line,Signified Entity,Greek,Translation,Epic,Book,Line,Type,Subtype,Relative,Category,Speech,Speaker,MANTO ID,MANTO Link
100,Muse,θεὰ,goddess,Iliad,1,1,descriptor,,,Deity Female,Narration,Narrator,8189170,
100,Achilles,Πηληϊάδεω,of Peleus,Iliad,1,1,epithet,patronym,Peleus,Human Male,Narration,Narrator,,
106,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,7,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
106,Agamemnon,ἄναξ ἀνδρῶν,lord of men,Iliad,1,7,epithet,,,Human Male,Narration,Narrator,,
106,Achilles,δῖος,divine,Iliad,1,7,epithet,,,Human Male,Narration,Narrator,,
109,Apollo,Λητοῦς καὶ Διὸς υἱός,son of Leto and Zeus,Iliad,1,9,epithet,lineage,Leto-and-Zeus,Deity Male,Narration,Narrator,,
112,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,12,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
112,ship,θοὰς,swift,Iliad,1,12,epithet,,,Object,Narration,Narrator,,
114,Apollo,ἑκηβόλου,far-shooting,Iliad,1,14,epithet,,,Deity Male,Narration,Narrator,,
116,"Agamemnon, Menelaus",Ἀτρεΐδα,of Atreus,Iliad,1,16,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
118,"Agamemnon, Menelaus",Ἀτρεΐδαι,of Atreus,Iliad,1,17,epithet,patronym,Atreus,Human Male,Direct,Chryses,,
118,Achaeans,ἐϋκνήμιδες,well-greaved,Iliad,1,17,epithet,,,Human Group,Direct,Chryses,,
119,gods,θεοὶ δοῖεν Ὀλύμπια,gods who have homes on Olympus,Iliad,1,18,descriptor,,,Deity Group,Direct,Chryses,,
120,Troy,Πριάμοιο πόλιν,city of Priam,Iliad,1,19,descriptor,,,Location,Direct,Chryses,,
122,Apollo,Διὸς υἱὸν,son of Zeus,Iliad,1,21,epithet,lineage,Zeus,Deity Male,Direct,Chryses,,
122,Apollo,ἑκηβόλον,far-shooting,Iliad,1,21,epithet,,,Deity Male,Direct,Chryses,,
127,Agamemnon,Ἀτρεΐδῃ,of Atreus,Iliad,1,24,epithet,patronym,Atreus,Human Male,Narration,Narrator,,
130,Chryses,γέρον,old man,Iliad,1,26,descriptor,,,Human Male,Direct,Agamemnon,,
130,ship,κοίλῃσιν,hollow,Iliad,1,26,epithet,,,Object,Direct,Agamemnon,,
133,Chryses,γῆρας,old man,Iliad,1,29,descriptor,,,Human Male,Direct,Agamemnon,,
140,Chryses,γέρων,old man,Iliad,1,33,descriptor,,,Human Male,Narration,Narrator,,
141,sea,πολυφλοίσβοιο,loud-roaring,Iliad,1,34,epithet,,,Nature,Narration,Narrator,,
142,Chryses,γεραιὸς,old man,Iliad,1,35,descriptor,,,Human Male,Narration,Narrator,,
143,Apollo,ἄνακτι,lord,Iliad,1,36,epithet,,,Deity Male,Narration,Narrator,,
