Source line,Signified Entity,Greek,Translation,Epic,Book,Line,Type,Subtype,Relative,Category,Speech,Speaker,MANTO ID
100,Muse,θεὰ,goddess,Iliad,1,1,descriptor,,,,Narration,Narrator,
100,Achilles,Πηληϊάδεω,,Iliad,1,1,epithet,patronym,Peleus,,Narration,Narrator,8182012
106,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,7,epithet,patronym,Atreus,,Narration,Narrator,
106,Agamemnon,ἄναξ ἀνδρῶν,lord of men,Iliad,1,7,epithet,,,,Narration,Narrator,
106,Achilles,δῖος,divine,Iliad,1,7,descriptor,,,,Narration,Narrator,8182012
109,Apollo,Λητοῦς καὶ Διὸς υἱός,son of Leto and Zeus,Iliad,1,9,epithet,lineage,Leto and Zeus,,Narration,Narrator,
112,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,12,epithet,patronym,Atreus,,Narration,Narrator,
112,ship,θοὰς,swift,Iliad,1,12,epithet,,,,Narration,Narrator,
114,Apollo,ἑκηβόλου,far-shooting,Iliad,1,14,epithet,,,,Narration,Narrator,
116,"Agamemnon, Menelaus",Ἀτρεΐδα,of Atreus,Iliad,1,16,epithet,patronym,Atreus,,Narration,Narrator,
118,"Agamemnon, Menelaus",Ἀτρεΐδαι,of Atreus,Iliad,1,17,epithet,patronym,Atreus,,Direct,Chryses,
118,Achaean,ἐϋκνήμιδες,well-greaved,Iliad,1,17,epithet,,,,Direct,Chryses,
119,gods,θεοὶ δοῖεν Ὀλύμπια,,Iliad,1,18,descriptor,,,,Direct,Chryses,
120,Troy,Πριάμοιο πόλιν,,Iliad,1,19,descriptor,,,,Direct,Chryses,
122,Apollo,Διὸς υἱὸν,,Iliad,1,21,epithet,lineage,Zeus,,Direct,Chryses,
122,Apollo,ἑκηβόλον,,Iliad,1,21,epithet,,,,Direct,Chryses,
127,Agamemnon,Ἀτρεΐδῃ,of Atreus,Iliad,1,24,epithet,patronym,Atreus,,Narration,Narrator,
130,Chryses,γέρον,,Iliad,1,26,descriptor,,,,Direct,Agamemnon,
130,ship,κοίλῃσιν,,Iliad,1,26,epithet,,,,Direct,Agamemnon,
133,Chryses,γῆρας,,Iliad,1,29,descriptor,,,,Direct,Agamemnon,
140,Chryses,γέρων,,Iliad,1,33,descriptor,,,,Narration,Narrator,
141,sea,πολυφλοίσβοιο,,Iliad,1,34,epithet,,,,Narration,Narrator,
142,Chryses,γεραιὸς,,Iliad,1,35,descriptor,,,,Narration,Narrator,
143,Apollo,ἄνακτι,,Iliad,1,36,epithet,,,,Narration,Narrator,
143,Leto,ἠΰκομος,,Iliad,1,36,epithet,,,,Narration,Narrator,
145,Apollo,ἀργυρότοξʼ,,Iliad,1,37,epithet,,,,Direct,Chryses,
147,Apollo,Σμινθεῦ,,Iliad,1,39,epithet,,,,Direct,Chryses,
153,Apollo,Φοῖβος,,Iliad,1,43,epithet,,,,Narration,Narrator,
157,Nyx,νυκτὶ,,Iliad,1,47,epithet,,,,Narration,Narrator,
164,Apollo,θεοῖο,,Iliad,1,53,descriptor,,,,Narration,Narrator,
166,Hera,θεὰ,goddess,Iliad,1,55,descriptor,,,,Narration,Narrator,
166,Hera,λευκώλενος,,Iliad,1,55,epithet,,,,Narration,Narrator,
169,Achilles,πόδας ὠκὺς,,Iliad,1,58,epithet,,,,Narration,Narrator,8182012
171,Agamemnon,Ἀτρεΐδη,of Atreus,Iliad,1,59,epithet,patronym,Atreus,,Direct,Achilles,
172,Thanatos,θάνατόν,,Iliad,1,60,epithet,,,,Direct,Achilles,
176,Apollo,Φοῖβος,,Iliad,1,64,epithet,,,,Direct,Achilles,
184,Calchas,Θεστορίδης,,Iliad,1,69,epithet,patronym,Thestor,,Narration,Narrator,
184,Calchas,οἰωνοπόλων ὄχʼ ἄριστος,,Iliad,1,69,epithet,,,,Narration,Narrator,
187,Apollo,Φοῖβος,,Iliad,1,72,epithet,,,,Narration,Narrator,
190,Achilles,Διῒ φίλε,,Iliad,1,74,descriptor,,,,Direct,Calchas,8182012
191,Apollo,ἑκατηβελέταο ἄνακτος,,Iliad,1,75,epithet,,,,Direct,Calchas,
202,Achilles,πόδας ὠκὺς,,Iliad,1,84,epithet,,,,Narration,Narrator,8182012
205,Apollo,Διῒ φίλον,,Iliad,1,86,descriptor,,,,Direct,Achilles,
208,ship,κοίλῃς,,Iliad,1,89,epithet,,,,Direct,Achilles,
210,Agamemnon,πολλὸν ἄριστος Ἀχαιῶν,far the best of Achaeans,Iliad,1,91,descriptor,,,,Direct,Achilles,
213,Calchas,ἀμύμων,peerless,Iliad,1,92,descriptor,,,,Narration,Narrator,
218,Apollo,ἑκηβόλος,,Iliad,1,96,epithet,,,,Direct,Calchas,
220,Chryseis,ἑλικώπιδα,,Iliad,1,98,descriptor,,,,Direct,Calchas,
220,Chryseis,κούρην,,Iliad,1,98,descriptor,,,,Direct,Calchas,
226,Agamemnon,ἥρως,hero,Iliad,1,102,descriptor,,,,Narration,Narrator,
226,Agamemnon,Ἀτρεΐδης,of Atreus,Iliad,1,102,epithet,patronym,Atreus,,Narration,Narrator,
